"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_Ability_upgrade_venomancer_Description"			"Increases slow by 20%, also more damage"
		"DOTA_Tooltip_Ability_upgrade_venomancer_Note0"					"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_venomancer_Lore"					"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_venomancer_goldcost"				"Gold cost:"
		
		//PAGE 2
		
		"DOTA_Tooltip_Ability_build_tower_shadow_fiend"					"Build Shadow Fiend tower"
		"DOTA_Tooltip_Ability_build_tower_shadow_fiend_Description"		"DMG: <font color=\"#00ff00\">Bad -> Good</font><br>AttackSpeed: <font color=\"#ffff00\">Okay</font><br>Range: 900<br>Ability: Nevermore Necromastery"
		"DOTA_Tooltip_Ability_build_tower_shadow_fiend_Note0"			"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_shadow_fiend_Lore"			"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_shadow_fiend_goldcost"		"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_shadow_fiend"						"Upgrade Shadow Fiend tower"
		"DOTA_Tooltip_Ability_upgrade_shadow_fiend_Description"			"Increases the maximum amount of souls to 85"
		"DOTA_Tooltip_Ability_upgrade_shadow_fiend_Note0"				"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_shadow_fiend_Lore"				"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_shadow_fiend_goldcost"			"Gold cost:"
		
		"DOTA_Tooltip_Ability_build_tower_weaver"						"Build Weaver tower"
		"DOTA_Tooltip_Ability_build_tower_weaver_Description"			"DMG: <font color=\"#00ff00\">Good</font><br>AttackSpeed: <font color=\"#00ff00\">Good</font><br>Range: 800<br>Ability: Geminate Attack"
		"DOTA_Tooltip_Ability_build_tower_weaver_Note0"					"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_weaver_Lore"					"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_weaver_goldcost"				"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_weaver"							"Upgrade Weaver tower"
		"DOTA_Tooltip_Ability_upgrade_weaver_Description"				"Adds 600 damage."
		"DOTA_Tooltip_Ability_upgrade_weaver_Note0"						"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_weaver_Lore"						"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_weaver_goldcost"					"Gold cost:"
		
		"DOTA_Tooltip_Ability_build_tower_techies"						"Build Techies tower"
		"DOTA_Tooltip_Ability_build_tower_techies_Description"			"DMG: <font color=\"#ff0000\">Bad</font><br>AttackSpeed: <font color=\"#ff0000\">Bad</font><br>Range: 800<br>Ability: Land Mine"
		"DOTA_Tooltip_Ability_build_tower_techies_Note0"				"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_techies_Lore"					"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_techies_goldcost"				"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_techies"							"Upgrade Techies tower"
		"DOTA_Tooltip_Ability_upgrade_techies_Description"				"Adds 1000 damage to the land mine."
		"DOTA_Tooltip_Ability_upgrade_techies_Note0"					"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_techies_Lore"						"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_techies_goldcost"					"Gold cost:"
		
		"DOTA_Tooltip_Ability_build_tower_witch_doctor"					"Build Witch Doctor tower"
		"DOTA_Tooltip_Ability_build_tower_witch_doctor_Description"		"DMG: <font color=\"#ff0000\">Bad</font><br>AttackSpeed: <font color=\"#00ff00\">Okay</font><br>Range: 600<br>Ability: Paralyzing Cask"
		"DOTA_Tooltip_Ability_build_tower_witch_doctor_Note0"			"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_witch_doctor_Lore"			"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_witch_doctor_goldcost"		"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_witch_doctor"						"Upgrade Witch Doctor tower"
		"DOTA_Tooltip_Ability_upgrade_witch_doctor_Description"			"Adds the maledict ability."
		"DOTA_Tooltip_Ability_upgrade_witch_doctor_Note0"				"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_witch_doctor_Lore"				"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_witch_doctor_goldcost"			"Gold cost:"
		
		"DOTA_Tooltip_Ability_build_tower_sven"							"Build Sven tower"
		"DOTA_Tooltip_Ability_build_tower_sven_Description"				"DMG: <font color=\"#00ff00\">Good</font><br>AttackSpeed: <font color=\"#00ff00\">Okay</font><br>Range: 500<br>Ability: Great Cleave"
		"DOTA_Tooltip_Ability_build_tower_sven_Note0"					"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_sven_Lore"					"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_sven_goldcost"				"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_sven"								"Upgrade Sven tower"
		"DOTA_Tooltip_Ability_upgrade_sven_Description"					"Adds the Chaos Strike crit ability."
		"DOTA_Tooltip_Ability_upgrade_sven_Note0"						"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_sven_Lore"						"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_sven_goldcost"					"Gold cost:"
		
		//PAGE 3
		"DOTA_Tooltip_Ability_build_tower_gyro"							"Build Gyrocoopter tower"
		"DOTA_Tooltip_Ability_build_tower_gyro_Description"				"DMG: <font color=\"#00ff00\">Good</font><br>AttackSpeed: <font color=\"#ff0000\">Bad</font><br>Range: 800<br>Ability: Flak Cannon"
		"DOTA_Tooltip_Ability_build_tower_gyro_Note0"					"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_gyro_Lore"					"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_gyro_goldcost"				"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_gyro"								"Upgrade Gyro tower"
		"DOTA_Tooltip_Ability_upgrade_gyro_Description"					"Upgrades the Flak cannon ability to lvl 4, also adds 500 damage."
		"DOTA_Tooltip_Ability_upgrade_gyro_Note0"						"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_gyro_Lore"						"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_gyro_goldcost"					"Gold cost:"
		
		"DOTA_Tooltip_Ability_build_tower_ursa"							"Build Ursa tower"
		"DOTA_Tooltip_Ability_build_tower_ursa_Description"				"DMG: <font color=\"#00ff00\">Good</font><br>AttackSpeed: <font color=\"#00ff00\">Great</font><br>Range: 500<br>Ability: Fury swipes"
		"DOTA_Tooltip_Ability_build_tower_ursa_Note0"					"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_ursa_Lore"					"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_ursa_goldcost"				"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_ursa"								"Upgrade Ursa tower"
		"DOTA_Tooltip_Ability_upgrade_ursa_Description"					"Adds the overpower ability."
		"DOTA_Tooltip_Ability_upgrade_ursa_Note0"						"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_ursa_Lore"						"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_ursa_goldcost"					"Gold cost:"
		
		"DOTA_Tooltip_Ability_build_tower_crystal_maiden"				"Build Crystal Maiden tower"
		"DOTA_Tooltip_Ability_build_tower_crystal_maiden_Description"	"DMG: <font color=\"#ff0000\">Bad</font><br>AttackSpeed: <font color=\"#ff0000\">Bad</font><br>Range: 700<br>Ability: Crystal Nova"
		"DOTA_Tooltip_Ability_build_tower_crystal_maiden_Note0"			"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_crystal_maiden_Lore"			"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_crystal_maiden_goldcost"		"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_crystal_maiden"					"Upgrade Crystal Maiden tower"
		"DOTA_Tooltip_Ability_upgrade_crystal_maiden_Description"		"Adds the degen aura ability."
		"DOTA_Tooltip_Ability_upgrade_crystal_maiden_Note0"				"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_crystal_maiden_Lore"				"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_crystal_maiden_goldcost"			"Gold cost:"
		
		"DOTA_Tooltip_Ability_build_tower_sniper"						"Build Sniper tower"
		"DOTA_Tooltip_Ability_build_tower_sniper_Description"			"DMG: <font color=\"#00ff00\">Great</font><br>AttackSpeed: <font color=\"#ffff00\">Okay</font><br>Range: 1700<br>Ability: None"
		"DOTA_Tooltip_Ability_build_tower_sniper_Note0"					"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_sniper_Lore"					"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_sniper_goldcost"				"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_sniper"							"Upgrade Sniper tower"
		"DOTA_Tooltip_Ability_upgrade_sniper_Description"				"Adds impetus ammo ability."
		"DOTA_Tooltip_Ability_upgrade_sniper_Note0"						"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_sniper_Lore"						"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_sniper_goldcost"					"Gold cost:"
		
		"DOTA_Tooltip_Ability_build_tower_luna"							"Build Luna tower"
		"DOTA_Tooltip_Ability_build_tower_luna_Description"				"DMG: <font color=\"#00ff00\">Good</font><br>AttackSpeed: <font color=\"#ffff00\">Okay</font><br>Range: 600<br>Ability: Moon glaives"
		"DOTA_Tooltip_Ability_build_tower_luna_Note0"					"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_luna_Lore"					"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_luna_goldcost"				"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_luna"								"Upgrade Luna tower"
		"DOTA_Tooltip_Ability_upgrade_luna_Description"					"Upgrades the Moon glaives ability to lvl 4, also adds 1000 damage."
		"DOTA_Tooltip_Ability_upgrade_luna_Note0"						"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_luna_Lore"						"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_luna_goldcost"					"Gold cost:"
		
		//PAGE 4
		"DOTA_Tooltip_Ability_build_tower_dragon_knight"				"Build Dragon Knight tower"
		"DOTA_Tooltip_Ability_build_tower_dragon_knight_Description"	"DMG: <font color=\"#00ff00\">Great</font><br>AttackSpeed: <font color=\"#00ff00\">Okay</font><br>Range: 700<br>Ability: Elder Dragon Form"
		"DOTA_Tooltip_Ability_build_tower_dragon_knight_Note0"			"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_dragon_knight_Lore"			"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_dragon_knight_goldcost"		"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_dragon_knight"					"Upgrade Dragon Knight tower"
		"DOTA_Tooltip_Ability_upgrade_dragon_knight_Description"		"Upgrades the Elder Dragon Form ability to lvl 3, also adds 1000 damage."
		"DOTA_Tooltip_Ability_upgrade_dragon_knight_Note0"				"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_dragon_knight_Lore"				"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_dragon_knight_goldcost"			"Gold cost:"
		
		"DOTA_Tooltip_Ability_build_tower_zeus"							"Build Zeus tower"
		"DOTA_Tooltip_Ability_build_tower_zeus_Description"				"Ability: Arc lightning<br>Ability: Static Field"
		"DOTA_Tooltip_Ability_build_tower_zeus_Note0"					"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_build_tower_zeus_Lore"					"AERTZ"
		"DOTA_Tooltip_Ability_build_tower_zeus_goldcost"				"Gold cost:"
		
		"DOTA_Tooltip_Ability_upgrade_zeus"								"Upgrade Zeus tower"
		"DOTA_Tooltip_Ability_upgrade_zeus_Description"					"Adds the lightning bolt ability."
		"DOTA_Tooltip_Ability_upgrade_zeus_Note0"						"This shows when hovering with Alt pressed"
		"DOTA_Tooltip_Ability_upgrade_zeus_Lore"						"AERTZ"
		"DOTA_Tooltip_Ability_upgrade_zeus_goldcost"					"Gold cost:"
		
		
	}
}
